"title","amount","department","detail","views","city","date"
"
                      I Paid Rs. 700 to Passport in Bangalore.
                    ","Paid INR 700
                        ","Passport","Police Verification for Passport","37 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1300 to Police in Bangalore.
                    ","Paid INR 1,300
                        ","Police","Filing FIR","36 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","33 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 400
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","27 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Paid INR 500
                        ","Income Tax","New PAN Card","53 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1500 to Transport in Bangalore.
                    ","Paid INR 1,500
                        ","Transport","Duplicate Registration Certificate","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Registration of Property","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Paid INR 400
                        ","Transport","Duplicate Registration Certificate","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","50 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","0 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Paid INR 400
                        ","Transport","Duplicate Registration Certificate","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","31 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Police Verification for Passport","33 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 5000 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 5,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","36 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 400
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Paid INR 500
                        ","Income Tax","New PAN Card","46 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1200 to Municipal Services in Bangalore.
                    ","Paid INR 1,200
                        ","Municipal Services","Birth Certificate","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","26 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Paid INR 400
                        ","Transport","Duplicate Registration Certificate","31 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1000 to Passport in Bangalore.
                    ","Paid INR 1,000
                        ","Passport","Passport Delivery","40 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","64 views","New Delhi
                      , Delhi","October 12, 2015"
"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","37 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","38 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","37 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 90 to Municipal Services in Tirunelveli.
                    ","Paid INR 90
                        ","Municipal Services","Birth Certificate","46 views","Tirunelveli
                      , Tamil Nadu","October 12, 2015"
"
                      I Paid Rs. 2000 to Passport in Hyderabad.
                    ","Paid INR 2,000
                        ","Passport","Police Verification for Passport","76 views","Hyderabad
                      , Telangana","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","31 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1800 to Transport in Bangalore.
                    ","Paid INR 1,800
                        ","Transport","New Domestic Driving License","37 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","33 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Police in Bangalore.
                    ","Paid INR 400
                        ","Police","Police Verification for Passport","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 30 to Customs, Excise and Service Tax in Adari.
                    ","Paid INR 30
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","97 views","Adari
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 30 to Food, Civil Supplies and Consumer Affairs in Adra.
                    ","Paid INR 30
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","64 views","Adra
                      , West Bengal","October 12, 2015"
"
                      I Paid Rs. 4000 to Passport in Bangalore.
                    ","Paid INR 4,000
                        ","Passport","Passport Delivery","37 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","27 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 50 to Food, Civil Supplies and Consumer Affairs in Dadri.
                    ","Paid INR 50
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","76 views","Dadri
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","59 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","0 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 400
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","37 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 25 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    ","Paid INR 25
                        ","Commercial Tax, Sales Tax, VAT","C Form","107 views","Achhnera
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Municipal Services in Bangalore.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Passport in Bangalore.
                    ","Paid INR 500
                        ","Passport","Police Verification for Passport","41 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 30 to Transport in Adilabad.
                    ","Paid INR 30
                        ","Transport","New Domestic Driving License","109 views","Adilabad
                      , Telangana","October 12, 2015"
"
                      I Paid Rs. 1000 to Transport in New Delhi.
                    ","Paid INR 1,000
                        ","Transport","New Domestic Driving License","56 views","New Delhi
                      , Delhi","October 12, 2015"
"
                      I Paid Rs. 6321 to Stamps and Registration in Anand.
                    ","Paid INR 6,321
                        ","Stamps and Registration","Registration of Property","60 views","Anand
                      , Gujarat","October 12, 2015"
"
                      I Paid Rs. 400 to Police in Bangalore.
                    ","Paid INR 400
                        ","Police","Filing FIR","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 25 to Transport in Agra.
                    ","Paid INR 25
                        ","Transport","New Domestic Driving License","34 views","Agra
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Police Harassment","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 30 to Customs, Excise and Service Tax in Adari.
                    ","Paid INR 30
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","90 views","Adari
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Paid INR 400
                        ","Transport","Duplicate Registration Certificate","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 6523 to Transport in Bagalkot.
                    ","Paid INR 6,523
                        ","Transport","Registration of Vehicle","44 views","Bagalkot
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 6400 to Stamps and Registration in Bangalore.
                    ","Paid INR 6,400
                        ","Stamps and Registration","Registration of Flat or Apartment","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 400
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","40 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 25 to Transport in Abohar.
                    ","Paid INR 25
                        ","Transport","Duplicate Registration Certificate","93 views","Abohar
                      , Punjab","October 12, 2015"
"
                      I Paid Rs. 60000 to Commercial Tax, Sales Tax, VAT in Mumbai.
                    ","Paid INR 60,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","82 views","Mumbai
                      , Maharashtra","October 12, 2015"
"
                      I Paid Rs. 7956 to Stamps and Registration in Anugul.
                    ","Paid INR 7,956
                        ","Stamps and Registration","Registration of Property","45 views","Anugul
                      , Orissa","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Registration of Flat or Apartment","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 20 to Others in Patna.
                    ","Paid INR 20
                        ","Others","Others","94 views","Patna
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 400 to Municipal Services in Bangalore.
                    ","Paid INR 400
                        ","Municipal Services","Birth Certificate","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Registration of Property","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 32 to Commercial Tax, Sales Tax, VAT in Achhnera.
                    ","Paid INR 32
                        ","Commercial Tax, Sales Tax, VAT","C Form","101 views","Achhnera
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 2500 to Police in Bangalore.
                    ","Paid INR 2,500
                        ","Police","Filing FIR","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 400
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","39 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 15 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 15
                        ","Commercial Tax, Sales Tax, VAT","C Form","98 views","Abohar
                      , Punjab","October 12, 2015"
"
                      I Paid Rs. 7410 to Police in Amroha.
                    ","Paid INR 7,410
                        ","Police","Police Verification for Passport","45 views","Amroha
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Passport in Bangalore.
                    ","Paid INR 500
                        ","Passport","Passport Delivery","36 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 46301 to Customs, Excise and Service Tax in Almora.
                    ","Paid INR 46,301
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","48 views","Almora
                      , Uttarakhand","October 12, 2015"
"
                      I Paid Rs. 3400 to Stamps and Registration in Bangalore.
                    ","Paid INR 3,400
                        ","Stamps and Registration","Registration of Property","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 25 to Customs, Excise and Service Tax in Adari.
                    ","Paid INR 25
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","95 views","Adari
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","40 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 42000 to Commercial Tax, Sales Tax, VAT in Ariyalur.
                    ","Paid INR 42,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","58 views","Ariyalur
                      , Tamil Nadu","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Paid INR 400
                        ","Transport","Duplicate Registration Certificate","31 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 14000 to Police in Banda.
                    ","Paid INR 14,000
                        ","Police","Traffic Violations","91 views","Banda
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Police in Bangalore.
                    ","Paid INR 500
                        ","Police","Filing FIR","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 6502 to Police in Akola.
                    ","Paid INR 6,502
                        ","Police","Traffic Violations","45 views","Akola
                      , Madhya Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","36 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","64 views","New Delhi
                      , Delhi","October 12, 2015"
"
                      I Paid Rs. 4632 to Police in Araria.
                    ","Paid INR 4,632
                        ","Police","Police Verification for Passport","53 views","Araria
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 400 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 400
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","38 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 48000 to Stamps and Registration in Ambikapur.
                    ","Paid INR 48,000
                        ","Stamps and Registration","Registration of Flat or Apartment","40 views","Ambikapur
                      , Chhattisgarh","October 12, 2015"
"
                      I Paid Rs. 500 to Passport in Bangalore.
                    ","Paid INR 500
                        ","Passport","Passport Delivery","41 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Marriage Certificate","34 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 400
                        ","Commercial Tax, Sales Tax, VAT","C Form","38 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 45000 to Transport in Baghpat.
                    ","Paid INR 45,000
                        ","Transport","Registration of Vehicle","38 views","Baghpat
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","35 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 41000 to Stamps and Registration in Amarpur.
                    ","Paid INR 41,000
                        ","Stamps and Registration","Registration of Property","77 views","Amarpur
                      , Bihar","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Registration of Vehicle","28 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 1236 to Police in Aurangabad.
                    ","Paid INR 1,236
                        ","Police","Police Harassment","33 views","Aurangabad
                      , Maharashtra","October 12, 2015"
"
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","0 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","57 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 6500 to Stamps and Registration in Bangalore.
                    ","Paid INR 6,500
                        ","Stamps and Registration","Registration of Flat or Apartment","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 12347 to Customs, Excise and Service Tax in Adoni.
                    ","Paid INR 12,347
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","70 views","Adoni
                      , Andhra Pradesh","October 12, 2015"
"
                      I Paid Rs. 2000 to Transport in Bangalore.
                    ","Paid INR 2,000
                        ","Transport","Duplicate Registration Certificate","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Transport in Bangalore.
                    ","Paid INR 500
                        ","Transport","Duplicate Registration Certificate","27 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Transport in Bangalore.
                    ","Paid INR 400
                        ","Transport","Duplicate Registration Certificate","33 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 4500 to Stamps and Registration in Bangalore.
                    ","Paid INR 4,500
                        ","Stamps and Registration","Registration of Property","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","30 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 400 to Police in Bangalore.
                    ","Paid INR 400
                        ","Police","Filing FIR","29 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 12365 to Police in Aligarh.
                    ","Paid INR 12,365
                        ","Police","Police Verification for Passport","75 views","Aligarh
                      , Uttar Pradesh","October 12, 2015"
"
                      I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Paid INR 500
                        ","Commercial Tax, Sales Tax, VAT","C Form","32 views","Bangalore
                      , Karnataka","October 12, 2015"
"
                      I Paid Rs. 500 to Stamps and Registration in Bangalore.
                    ","Paid INR 500
                        ","Stamps and Registration","Registration of Flat or Apartment","28 views","Bangalore
                      , Karnataka","October 12, 2015"
